url,slug,title,category,published_date,word_count,intent_cluster,product_relevance,health_sensitive,author_present,reviewer_present,published_at_present,updated_at_present,sources_present,methodology_present,disclosure_present,search_console_status,backlink_status,provisional_action,provisional_destination,cannibalisation_signal,notes
/blog/body-recomposition-science-lose-fat-gain-muscle,body-recomposition-science-lose-fat-gain-muscle,Body Recomposition: Losing Fat While Building or Preserving Muscle,,,923,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/body-types-science-fitness-2026,body-types-science-fitness-2026,Body Types and Training: What Somatotypes Can—and Cannot—Predict,,,606,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/bodyweight-training-muscle-building-science,bodyweight-training-muscle-building-science,Can You Build Muscle Without Weights? A Practical Guide,Training,,924,exercise_selection,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: exercise_selection (36 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/bone-density-resistance-training-science,bone-density-resistance-training-science,Resistance Training and Bone Density: What the Evidence Supports,,,651,exercise_selection,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: exercise_selection (36 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/bpc-157-peptide-science-recovery-evidence,bpc-157-peptide-science-recovery-evidence,BPC-157 for Injury Recovery: What the Evidence Shows,Health,2026-02-25,766,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/bracing-intra-abdominal-pressure-strength-science,bracing-intra-abdominal-pressure-strength-science,Bracing and Intra-Abdominal Pressure for Strength Training,,,981,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/breathing-techniques-strength-training-science,breathing-techniques-strength-training-science,Breathing Techniques for Heavy Lifts: A Practical Evidence Guide,,,946,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/building-muscle-budget-protein-sources,building-muscle-budget-protein-sources,Building Muscle on a Budget: The Science of Cheap Protein Sources,,,1113,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/caffeine-pre-workout-science-2026,caffeine-pre-workout-science-2026,Caffeine and Pre-Workout: What the Evidence Supports,Supplements,2026-02-26,604,nutrition_and_supplements,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Source-only inventory; demand and links not yet checked.
/blog/calf-muscle-hypertrophy-training-science,calf-muscle-hypertrophy-training-science,Calf Muscle Growth: What Volume Research Actually Shows,,,732,volume_and_programming,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/carbohydrates-muscle-growth-science,carbohydrates-muscle-growth-science,"Carbohydrates for Muscle Growth: Glycogen, Performance, and Practical Intake",Nutrition,,859,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/cardio-strength-athletes-science,cardio-strength-athletes-science,Cardio for Strength Athletes: Concurrent Training Without the Hype,,,631,volume_and_programming,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Source-only inventory; demand and links not yet checked.
/blog/chronotype-training-optimization,chronotype-training-optimization,Chronotype and Training Time: How Much Does It Matter?,,,510,general_training,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: general_training (79 URLs),Source-only inventory; demand and links not yet checked.
/blog/circadian-rhythm-training-time-muscle-growth,circadian-rhythm-training-time-muscle-growth,"Training Time of Day: Circadian Rhythms, Strength, and Muscle Growth",,,518,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/circadian-training-timing-muscle-growth,circadian-training-timing-muscle-growth,Morning or Evening Training: Does Timing Affect Muscle Growth?,,,580,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/citrulline-malate-pre-workout-science-2026,citrulline-malate-pre-workout-science-2026,Citrulline Malate: What the Pre-Workout Evidence Shows,Supplements,2026-02-25,542,recovery_and_health,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: recovery_and_health (52 URLs),Source-only inventory; demand and links not yet checked.
/blog/citrulline-supplementation-strength-training,citrulline-supplementation-strength-training,Citrulline for Strength Training: What the Pump Evidence Shows,Supplements,2026-03-02,528,volume_and_programming,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Source-only inventory; demand and links not yet checked.
/blog/cluster-sets-hypertrophy-2026,cluster-sets-hypertrophy-2026,"Cluster Sets: A Way to Redistribute Rest, Not a Guaranteed Growth Upgrade",,,670,volume_and_programming,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/co2-tolerance-training-strength-lifts,co2-tolerance-training-strength-lifts,CO2 Tolerance and Strength Training: What Breathing Practice Can Do,,,969,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/cold-water-immersion-muscle-growth-science-2026,cold-water-immersion-muscle-growth-science-2026,Cold-Water Immersion and Muscle Growth: Separate Soreness from Adaptation,,,596,recovery_and_health,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: recovery_and_health (52 URLs),Source-only inventory; demand and links not yet checked.
/blog/collagen-peptides-muscle-tendon-stiffness-2025,collagen-peptides-muscle-tendon-stiffness-2025,Collagen Peptides for Tendons: What the Evidence Shows,,,731,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/complete-guide-muscle-building-2026,complete-guide-muscle-building-2026,How to Build Muscle: A Practical Starting Plan,Foundation,,1088,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/compound-vs-isolation-hypertrophy-science,compound-vs-isolation-hypertrophy-science,Compound vs Isolation Exercises for Hypertrophy: How to Choose,,,668,progression_and_effort,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/progressive-overload,shared source-only cluster: progression_and_effort (45 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/concurrent-training-interference-effect-2026,concurrent-training-interference-effect-2026,Concurrent Strength and Hypertrophy Training: How to Combine Goals,,,788,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/coq10-strength-athletes-mitochondria,coq10-strength-athletes-mitochondria,CoQ10 for Strength Athletes: What the Evidence Shows,Supplements,2026-03-05,500,exercise_selection,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: exercise_selection (36 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/cortisol-muscle-growth-stress-hormone,cortisol-muscle-growth-stress-hormone,"Cortisol, Stress, and Muscle Growth: What Lifters Should Know",,,632,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/creatine-caffeine-interaction-muscle-science,creatine-caffeine-interaction-muscle-science,Creatine and Caffeine: Do They Cancel Each Other Out?,Supplements,2026-02-26,585,nutrition_and_supplements,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Source-only inventory; demand and links not yet checked.
/blog/creatine-loading-phase-necessary-research,creatine-loading-phase-necessary-research,Creatine Loading Phase: What the Research Says,,2026-02-27,873,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/creatine-loading-phase-necessary,creatine-loading-phase-necessary,Creatine Loading Phase: Necessary or Not?,,2026-02-28,133,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/creatine-monohydrate-science-2026,creatine-monohydrate-science-2026,"Creatine Monohydrate: Benefits, Loading, Safety, and Limits",,,743,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/creatine-science-2025,creatine-science-2025,The Science of Creatine: What 2025 Research Really Says,,,926,nutrition_and_supplements,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Source-only inventory; demand and links not yet checked.
/blog/daily-readiness-training-wearable-data,daily-readiness-training-wearable-data,Daily Readiness Training: How to Use Wearable Data Without Overfitting,,,979,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/daily-steps-muscle-growth-science-2026,daily-steps-muscle-growth-science-2026,"Daily Steps, Recovery, and Muscle Growth: What We Can Actually Say",,,652,recovery_and_health,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: recovery_and_health (52 URLs),Source-only inventory; demand and links not yet checked.
/blog/deload-weeks-muscle-science,deload-weeks-muscle-science,Deload Weeks: When Reduced Training May Help,,,721,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/dileucine-supplement-muscle-protein-synthesis-research,dileucine-supplement-muscle-protein-synthesis-research,Dileucine and Muscle Protein Synthesis: What One Trial Shows,Supplements,2026-02-25,506,nutrition_and_supplements,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Source-only inventory; demand and links not yet checked.
/blog/drop-sets-intensity-techniques-science,drop-sets-intensity-techniques-science,Drop Sets and Intensity Techniques: What They Add,,,676,volume_and_programming,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/dynamic-warm-up-strength-training-science,dynamic-warm-up-strength-training-science,Dynamic Warm-Ups for Strength Training: What They Can Do,,,665,volume_and_programming,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/eccentric-overload-training-muscle-growth-2026,eccentric-overload-training-muscle-growth-2026,Eccentric Overload Training: What It May Add to Hypertrophy,,,706,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/effective-training-volume-quality-not-quantity,effective-training-volume-quality-not-quantity,Why Not All Sets Are Equal: The Science of Effective Training Volume,,,851,volume_and_programming,medium,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Source-only inventory; demand and links not yet checked.
/blog/electrical-muscle-stimulation-ems-training-hypertrophy,electrical-muscle-stimulation-ems-training-hypertrophy,Electrical Muscle Stimulation for Hypertrophy: What It Can and Cannot Do,,,672,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/epicatechin-cocoa-flavanol-muscle-growth,epicatechin-cocoa-flavanol-muscle-growth,Epicatechin: The Cocoa Flavanol for Muscle Growth,,2026-03-03,1308,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/estrogen-muscle-building-hormone-science,estrogen-muscle-building-hormone-science,Estrogen and Muscle: What Lifters Can Actually Conclude,,,704,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/exercise-biomechanics-grip-stance-leverage,exercise-biomechanics-grip-stance-leverage,"Exercise Biomechanics: Grip, Stance, Leverage, and Muscle Demand",,,903,exercise_selection,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: exercise_selection (36 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/exercise-order-hypertrophy-programming,exercise-order-hypertrophy-programming,Exercise Order: The Programming Variable Nobody Talks About,,,991,volume_and_programming,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/exercise-order-pre-exhaustion-science,exercise-order-pre-exhaustion-science,Pre-Exhaustion and Exercise Order: What the Evidence Supports,,,636,recovery_and_health,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: recovery_and_health (52 URLs),Source-only inventory; demand and links not yet checked.
/blog/exercise-snacking-muscle-science-2026,exercise-snacking-muscle-science-2026,Exercise Snacking: Can Short Resistance Bouts Still Help?,,,554,exercise_selection,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: exercise_selection (36 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/exercise-variation-muscle-growth-rotation,exercise-variation-muscle-growth-rotation,Exercise Variation and Muscle Growth: When to Change a Lift,,,780,progression_and_effort,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/progressive-overload,shared source-only cluster: progression_and_effort (45 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/exerkines-muscle-signaling-molecules-2026,exerkines-muscle-signaling-molecules-2026,Exerkines and Myokines: What Exercise Signals Can—and Cannot—Tell You,,,740,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
